datetime,city,state,country,shape,duration (seconds),duration (hours/min),comments,date posted,latitude,longitude
1995-10-10 22:40:00,oakland,ca,us,,60,1 minute,Woman repts.  bright light in NW sky&#44 suddenly approaches her&#44 flies slowly overhead.  Swept wings&#44 2 blurry lights either side.,1999-11-02,37.8044444,-122.2697222
1999-10-10 20:35:00,hayward,ca,us,circle,90,60-90 sec,Many different colored glowing  objects,2001-11-20,37.6688889,-122.0797222
2001-10-10 20:35:00,hayward,ca,us,circle,120,2/min.,FALLING STAR  STOPS  &#39SHOTS OUT  DOZENS OF RED POINTS OF LIGHT,2001-11-20,37.6688889,-122.0797222
2004-10-10 15:00:00,berkeley,ca,us,unknown,180,3 minutes,While driving my car in the mid afternoon of a day in the fall of 2004 on HYW 580 East-bound I had just crossed the San Rafael / Richmo,2005-05-24,37.8716667,-122.2716667
2006-10-10 5:00:00,san francisco,ca,us,triangle,600,10 minutes,black triangles were seen flying across the surface of the full moon,2006-10-30,37.775,-122.4183333
2008-10-10 10:22:00,fremont,ca,us,triangle,60,1 minute,I saw a brightly lightes v shaped ufo while driving through fremont&#44ca.,2008-10-31,37.5483333,-121.9875
2009-10-10 23:23:00,cupertino,ca,us,light,180,3 minutes,Bright red light object made random moves horizontally and floated for a while and then went up vertically.,2009-12-12,37.3230556,-122.0311111
2010-10-10 15:00:00,san francisco airport,ca,,triangle,300,5 min.,White or light grey colored and leaving red/orange contrails on a bright blue sky.,2013-09-30,37.615223,-122.389979
2012-10-10 15:00:00,san francisco airport,ca,,triangle,300,5 minutes,San Francisco International Airport         afternoon      about  5minutes       super clear conditions,2013-09-30,37.615223,-122.389979
2012-10-10 20:30:00,san jose,ca,us,other,6,5-6 seconds,POSSIBLE ALIEN/HUMANOID SEEN RUNNING INTO HILLS,2012-10-30,37.3394444,-121.8938889
2004-10-11 5:00:00,san jose,ca,us,light,15,12-15seconds,Light traveling at very high rate of speed across the morning sky.,2004-10-27,37.3394444,-121.8938889
2004-10-11 11:00:00,salinas,ca,us,formation,2700,45 minutes,Large formation of UFO&#39s seen over south Salinas&#44 CA on Oct. 11&#44 2004&#44 in broad daylight.,2004-10-27,36.6777778,-121.6544444
